X,Y,village,size,coastal
-120.60246374252,34.5632454080784,Nocto,medium,TRUE
-120.548467108544,34.6707477975399,Lompoc,medium,FALSE
-120.416666233793,34.5752719311004,Jalama,small,FALSE
-120.494470474568,34.5070398208942,Silimastus,large,TRUE
-120.409303056433,34.4601609250332,Sisolop,very large,TRUE
-120.347697805851,34.4645788314494,Tejaj,medium,TRUE
-120.317508778674,34.4680149808843,Estait,large,TRUE
-120.331744254904,34.5649634827958,Yilax,medium,FALSE
-120.238231902427,34.4731692050365,Nomgio,very large,TRUE
-120.196261791473,34.5340381378823,Najue,large,FALSE
-120.129011438248,34.476359915226,Sisuchi,very large,TRUE
-120.076978318235,34.4633516352227,Casil,large,TRUE
-119.967266975565,34.448625280502,Miquigui,largest,TRUE
-119.954749574053,34.4427347386137,Cuyamu,small,TRUE
-119.907379799701,34.5639817258145,Elijman,small,FALSE
-119.855592118933,34.5553913522273,Huisapa,medium,FALSE
-119.809449540808,34.5718357816655,Miasap,small,FALSE
-119.767970308344,34.5374742873171,Snojoso,small,FALSE
-119.745144458527,34.5362470910904,Snihuaj,medium,FALSE
-119.820739746094,34.4221178420046,Alcas,medium,TRUE
-119.830311876662,34.4324262903091,Saspili,largest,TRUE
-119.845774549119,34.4154909823803,Geliec,large,TRUE
-119.838902250249,34.4243267952127,Geio,large,TRUE
-119.704156104555,34.463597074468,Janayan,small,TRUE
-119.699983637384,34.4093550012466,Siutjtu,very large,TRUE
-119.640096461519,34.4243267952127,Salagua,medium,TRUE
-119.570882594332,34.5144029982546,Snajalayegua,large,FALSE
-119.557383435838,34.4221178420046,Coloc,medium,TRUE
-119.505350315824,34.3941377680352,Misopsno,large,TRUE
-119.482769905253,34.3862837121841,Sucu,large,TRUE
-119.624879228308,34.5838623046875,Siguaya,small,FALSE
-120.170736109957,34.6840015167885,Jonjonata,large,FALSE
-119.911061388381,34.686455909242,Aquitsumu,large,FALSE
-119.8889718563,34.6560214428191,Stucu,large,FALSE
-119.841847521193,34.6408042096077,Huiltlic,medium,FALSE
-119.764779598155,34.6786018533909,Sajcaya,small,FALSE
-120.051943515209,34.7443795711436,Sotonocmu,very large,FALSE
-120.036235403507,34.5833714261968,Calahuasa,very large,FALSE
-119.96014923745,34.5858258186502,Tequeps,very large,FALSE
-120.403412514545,34.6393315741356,Sipuc,hamlet,FALSE
-120.292964854139,34.6182237990359,Sajuchu,large,FALSE
